[ 6.0 , -5.0 ] 
[ 4.5 , -5.0 ] 
[ 7.0 , -5.0 ] 
[ 7.2 , -3.9285714285714284 ] 
[ 6.550000053644173 , -3.8 ] 
[ 6.550000053644173 , -3.8 ] 
[ 6.193103373433414 , -3.8 ] 
[ 5.800000063578268 , -3.8 ] 
[ 5.800000063578268 , -3.8 ] 
[ 4.776470390020663 , -3.8 ] 
[ 4.333333324503015 , -3.8 ] 
[ 4.333333307823528 , -3.8 ] 
[ 2.3402704485282637 , -2.0784313883627896 ] 
[ 2.4525899934408137 , -2.0784313883627896 ] 
[ 3.0191818380761517 , -2.0784313883627896 ] 
[ 3.21518219889492 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -2.0784313883627896 ] 
[ 2.991716135247911 , -0.36986551200345097 ] 
[ 2.8598154881003435 , -0.36986551200345097 ] 
[ 2.8598154881003435 , -0.36986551200345097 ] 
[ 2.8598154881003435 , -0.36986551200345097 ] 
[ 2.8598154881003435 , -0.36986551200345097 ] 
[ 2.8598154881003435 , -0.36986551200345097 ] 
[ 2.8598154881003435 , -0.36986551200345097 ] 
[ 2.900765876169914 , -0.36986551200345097 ] 
[ 2.8993400914265113 , -0.36986551200345097 ] 
[ 2.89934009099855 , -0.36986551200345097 ] 
[ 2.89934009099855 , -0.36986551200345097 ] 
[ 2.89934009099855 , -0.36986551200345097 ] 
[ 2.89934009099855 , -0.36986551200345097 ] 
[ 2.89934009099855 , -0.36986551200345097 ] 
[ 2.8297635086853465 , -0.36986551200345097 ] 
[ 2.735247323557842 , -0.36986551200345097 ] 
[ 2.735247246482524 , -0.36986551200345097 ] 
[ 2.735247246482524 , -0.36986551200345097 ] 
[ 2.735247246482524 , -0.36986551200345097 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.735247246482524 , -0.7470738672947657 ] 
[ 2.54685513641141 , -0.7470738672947657 ] 
[ 2.54685513641141 , -0.7470738672947657 ] 
[ 2.54685513641141 , -0.7470738672947657 ] 
[ 2.54685513641141 , -0.7470738672947657 ] 
[ 2.54685513641141 , -0.7470738672947657 ] 
[ 2.6708865473717225 , -0.7470738672947657 ] 
[ 2.6708865253266625 , -0.7470738672947657 ] 
[ 2.0346097786777144 , -0.6140819971347282 ] 
[ 2.04629854800357 , -0.6140819971347282 ] 
